USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-01,0,41,32,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-02,0.04,49,33,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-03,0.97,52,41,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-04,0.25,54,49,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-05,0,51,39,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-06,0.2,48,42,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-07,0.16,46,35,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-08,0.02,41,28,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-09,0.15,57,37,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-10,0.03,56,44,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-11,0,54,40,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-12,0.01,50,31,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-13,0,51,31,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-14,0.01,45,28,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-15,0,48,27,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-16,0,45,28,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-17,0.05,55,34,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-18,0.18,54,45,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-19,0.15,53,44,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-20,0,49,35,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-21,0,45,32,USC00450587
USC00450587,"BELLINGHAM 3 SSW, WA US",2019-01-22,0.09,47,37,USC00450587